Predicted complex	Size (# of subunits)	Co-complex membership_UniProtKB AC	Co-complex membership_UniProtKB EntryName	# of matched subunit in public DB	"""Novel"" proteins"	Annotated proteins	Best-matching CORUM complex	Best-matchng REACTOME complex	Best-mathng PINdb complex	Best-matching HPRD complex	Best-mathng Gene Ontology Cell Component complex	Best-matching MEMO complex, Malovannaya et al	Best-matching FLY complex (orthology), Guruharsha et al.	Best-matching YEAST complex (orthology), Babu el al.,	Taxonomic group
C_139	3	Q86UT6,Q9ULC4,O43583	NLRX1_HUMAN,MCTS1_HUMAN,DENR_HUMAN	2	Q86UT6	Q9ULC4,O43583	-	-	-	-	-	-	-	Y_215 (3.72E-04)	multicellularity
C_140	3	Q06124,P49841,Q9UP38	PTN11_HUMAN,GSK3B_HUMAN,FZD1_HUMAN	0	P49841,Q06124,Q9UP38,	-	-	-	-	-	-	-	-	-	Fungi
C_141	3	P49773,Q9NRV9,Q9H2U1	HINT1_HUMAN,HEBP1_HUMAN,DHX36_HUMAN	0	P49773,Q9H2U1,Q9NRV9,	-	-	-	-	-	-	-	-	-	vertebrates
C_142	3	Q93096,Q9NVU7,P11279	TP4A1_HUMAN,SDA1_HUMAN,LAMP1_HUMAN	0	P11279,Q93096,Q9NVU7,	-	-	-	-	-	-	-	-	-	multicellularity
C_143	3	Q6NW29,Q9NUG6,P20290	RWDD4_HUMAN,PDRG1_HUMAN,BTF3_HUMAN	0	P20290,Q6NW29,Q9NUG6,	-	-	-	-	-	-	-	-	-	multicellularity
C_144	3	Q58FF7,P02792,P02794	H90B3_HUMAN,FRIL_HUMAN,FRIH_HUMAN	2	Q58FF7,	P02792,P02794,	-	REACT_19855~Ferritin Complex [cytosol] (7.66e-05)	-	-	GO:0008043|intracellular ferritin complex (1.73e-04)	AM000365 (9.90e-05)	-	-	vertebrates
C_145	3	P54577,Q86W50,Q14320	SYYC_HUMAN,MET16_HUMAN,FA50A_HUMAN	0	P54577,Q14320,Q86W50,	-	-	-	-	-	-	-	-	-	multicellularity
C_146	3	Q14686,Q96RN5,O14757	NCOA6_HUMAN,MED15_HUMAN,CHK1_HUMAN	0	O14757,Q14686,Q96RN5,	-	-	-	-	-	-	-	-	-	vertebrates
C_147	3	Q14573,P16615,O14983	ITPR3_HUMAN,AT2A2_HUMAN,AT2A1_HUMAN	0	O14983,P16615,Q14573,	-	-	-	-	-	-	-	-	-	vertebrates
C_148	3	Q9BXJ9,P41227,Q9NVM9	NAA15_HUMAN,NAA10_HUMAN,M89BB_HUMAN	2	Q9NVM9	Q9BXJ9,P41227	-	-	-	-	-	-	-	Y_312 (3.72E-04)	Fungi
C_149	3	Q92890,Q8TAT6,P58546	UFD1_HUMAN,NPL4_HUMAN,MTPN_HUMAN	2	P58546	Q92890,Q8TAT6	-	-	-	-	-	AM002118 (1.03e-04)	F_404 (3.52E-05)	Y_29 (6.81E-03)	multicellularity
C_150	3	Q5TC82,P26196,P32320	RC3H1_HUMAN,DDX6_HUMAN,CDD_HUMAN	0	P26196,P32320,Q5TC82,	-	-	-	-	-	-	-	-	-	Fungi
C_151	4	Q12965,P35749,O60610,P60709	MYO1E_HUMAN,MYH11_HUMAN,DIAP1_HUMAN,ACTB_HUMAN	2	O60610,P35749,	P60709,Q12965,	CORUM_5604::Emerin complex 1 (1.49e-03)	-	-	-	-	-	-	-	vertebrates
C_152	4	Q9P2L0,Q9NYU2,Q14669,Q86V81	WDR35_HUMAN,UGGG1_HUMAN,TRIPC_HUMAN,THOC4_HUMAN	0	Q14669,Q86V81,Q9NYU2,Q9P2L0,	-	-	-	-	-	-	-	-	-	Fungi
C_153	4	Q12965,O95757,O60610,Q5VTR2	MYO1E_HUMAN,HS74L_HUMAN,DIAP1_HUMAN,BRE1A_HUMAN	0	O60610,O95757,Q12965,Q5VTR2,	-	-	-	-	-	-	-	-	-	vertebrates
C_154	4	O95365,O75691,Q9H0A0,Q8IY37	ZBT7A_HUMAN,UTP20_HUMAN,NAT10_HUMAN,DHX37_HUMAN	0	O75691,O95365,Q8IY37,Q9H0A0,	-	-	-	-	-	-	-	-	Y_2 (4.37E-03)	multicellularity
C_155	4	Q9Y5V0,O60763,Q96RU2,O14578	ZN706_HUMAN,USO1_HUMAN,UBP28_HUMAN,CTRO_HUMAN	0	O14578,O60763,Q96RU2,Q9Y5V0,	-	-	-	-	-	-	-	-	-	vertebrates
C_156	4	Q7Z7H5,Q15363,P45877,P49257	TMED4_HUMAN,TMED2_HUMAN,PPIC_HUMAN,LMAN1_HUMAN	0	P45877,P49257,Q15363,Q7Z7H5,	-	-	-	-	-	-	-	F_228 (3.69E-04)	Y_54 (8.79E-05)	vertebrates
C_157	4	Q5VYJ4,Q9UDW1,P08779,P52272	RUEL1_HUMAN,QCR9_HUMAN,K1C16_HUMAN,HNRPM_HUMAN	0	P08779,P52272,Q5VYJ4,Q9UDW1,	-	-	-	-	-	-	-	-	-	vertebrates
C_158	4	O75439,P52292,Q9UK76,Q15007	MPPB_HUMAN,IMA2_HUMAN,HN1_HUMAN,FL2D_HUMAN	0	O75439,P52292,Q15007,Q9UK76,	-	-	-	-	-	-	-	-	-	vertebrates
C_159	4	Q9P0L0,P51649,P04179,Q9UKD2	VAPA_HUMAN,SSDH_HUMAN,SODM_HUMAN,MRT4_HUMAN	0	P04179,P51649,Q9P0L0,Q9UKD2,	-	-	-	-	-	-	-	-	-	multicellularity
C_160	4	Q9UI09,P00846,O75947,P33897	NDUAC_HUMAN,ATP6_HUMAN,ATP5H_HUMAN,ABCD1_HUMAN	2	P33897,Q9UI09,	O75947,P00846,	CORUM_563::F1F0-ATP synthase (EC 3.6.3.14), mitochondrial (5.79e-03)	REACT_5736~ATPase CF(0) [mitochondrial inner membrane] (2.78e-03)	-	-	GO:0005753|mitochondrial proton-transporting ATP synthase complex (2.43e-02)	-	-	-	Fungi
C_161	4	Q01831,Q5VYS8,P51608,P41208	XPC_HUMAN,TUT7_HUMAN,MECP2_HUMAN,CETN2_HUMAN	2	P51608,Q5VYS8,	P41208,Q01831,	-	-	-	-	GO:0071942|XPC complex (8.08e-04)	-	-	-	vertebrates
C_162	4	Q9UGV2,Q9Y450,Q9UJY4,O14810	NDRG3_HUMAN,HBS1L_HUMAN,GGA2_HUMAN,CPLX1_HUMAN	0	O14810,Q9UGV2,Q9UJY4,Q9Y450,	-	-	-	-	-	-	-	-	-	vertebrates
C_163	4	Q9ULG1,Q9H8H2,Q9GZR7,Q9H981	INO80_HUMAN,DDX31_HUMAN,DDX24_HUMAN,ARP8_HUMAN	2	Q9GZR7,Q9H8H2,	Q9H981,Q9ULG1,	CORUM_302::INO80 chromatin remodeling complex (3.98e-03)	-	-	HPRD_2553::in vitro and in vivo (5.78e-03)	GO:0031011|Ino80 complex (1.51e-02)	AM000096 (6.20e-03)	-	-	vertebrates
C_164	4	Q99611,Q9UBT2,Q9UBE0,Q9NZZ3	SPS2_HUMAN,SAE2_HUMAN,SAE1_HUMAN,CHMP5_HUMAN	2	Q99611,Q9NZZ3,	Q9UBE0,Q9UBT2,	CORUM_5756::SUA1-UBA2 complex (8.64e-05)	REACT_76108~E1 bound ubiquitin [cytosol] (4.73e-03)	-	HPRD_995::in vitro (6.46e-04)	-	-	F_209 (1.76E-04)	Y_454 (2.48E-04)	Plants &Protists
C_165	4	A6NL28,P51688,P23921,P32119	TPM3L_HUMAN,SPHM_HUMAN,RIR1_HUMAN,PRDX2_HUMAN	0	A6NL28,P23921,P32119,P51688,	-	-	-	-	-	-	-	-	-	vertebrates
C_166	4	Q9UBU9,O95232,Q9NUU7,O75531	NXF1_HUMAN,LC7L3_HUMAN,DD19A_HUMAN,BAF_HUMAN	0	O75531,O95232,Q9NUU7,Q9UBU9,	-	-	-	-	-	-	-	-	-	Fungi
C_167	4	P11234,P51148,Q8NF37,Q9UHA4	RALB_HUMAN,RAB5C_HUMAN,PCAT1_HUMAN,LTOR3_HUMAN	0	P11234,P51148,Q8NF37,Q9UHA4,	-	-	-	-	-	-	-	-	-	vertebrates
C_168	4	O60245,Q9GZY8,Q9NUL7,P21589	PCDH7_HUMAN,MFF_HUMAN,DDX28_HUMAN,5NTD_HUMAN	0	O60245,P21589,Q9GZY8,Q9NUL7,	-	-	-	-	-	-	-	-	-	vertebrates
C_169	4	Q9C0C2,Q9UQM7,P61978,Q13185	TB182_HUMAN,KCC2A_HUMAN,HNRPK_HUMAN,CBX3_HUMAN	0	P61978,Q13185,Q9C0C2,Q9UQM7,	-	-	-	-	-	-	-	-	-	vertebrates
C_170	4	Q9UNH7,O60749,Q13596,O60346	SNX6_HUMAN,SNX2_HUMAN,SNX1_HUMAN,PHLP1_HUMAN	3	O60346,	O60749,Q13596,Q9UNH7,	CORUM_1058::SNX complex (SNX1, SNX6) (8.91e-05)	-	-	-	-	-	F_303 (1.76E-05)	-	vertebrates
C_171	4	P57081,Q9NZI7,Q9UBP6,Q8IUD2	WDR4_HUMAN,UBIP1_HUMAN,TRMB_HUMAN,RB6I2_HUMAN	2	Q8IUD2,Q9NZI7	P57081,Q9UBP6	-	-	-	-	-	-	-	Y_350 (2.48E-04)	vertebrates
C_172	4	Q8WVM8,Q96AG3,P17066,Q86VS8	SCFD1_HUMAN,S2546_HUMAN,HSP76_HUMAN,HOOK3_HUMAN	0	P17066,Q86VS8,Q8WVM8,Q96AG3,	-	-	-	-	-	-	-	-	-	vertebrates
C_173	4	Q14980,Q16531,Q13620,Q13619	NUMA1_HUMAN,DDB1_HUMAN,CUL4B_HUMAN,CUL4A_HUMAN	3	Q14980,	Q13619,Q13620,Q16531,	CORUM_1162::Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1) (2.22e-06)	-	PINdb_229::CUL4/DDB1 Complex- DNA replication (1.84e-02)	HPRD_2889::in vitro (1.54e-05)	GO:0031465|Cul4B-RING ubiquitin ligase complex (1.49e-03)	AM000237 (1.60e-04)	-	-	vertebrates
C_174	4	O75340,Q16718,Q27J81,Q92616	PDCD6_HUMAN,NDUA5_HUMAN,INF2_HUMAN,GCN1L_HUMAN	0	O75340,Q16718,Q27J81,Q92616,	-	-	-	-	-	-	-	-	-	multicellularity
C_175	4	Q9Y4P8,P40222,O95881,Q6P3X3	WIPI2_HUMAN,TXLNA_HUMAN,TXD12_HUMAN,TTC27_HUMAN	0	O95881,P40222,Q6P3X3,Q9Y4P8,	-	-	-	-	-	-	-	-	-	vertebrates
C_176	4	Q92610,Q05519,Q8NEM2,Q7L014	ZN592_HUMAN,SRS11_HUMAN,SHCBP_HUMAN,DDX46_HUMAN	2	Q8NEM2,Q92610,	Q05519,Q7L014,	-	-	-	-	-	-	-	-	vertebrates
C_177	4	Q15428,P50897,Q9UNP9,Q6KC79	SF3A2_HUMAN,PPT1_HUMAN,PPIE_HUMAN,NIPBL_HUMAN	2	P50897,Q6KC79,	Q15428,Q9UNP9,	-	-	-	-	-	-	-	-	vertebrates
C_178	4	Q9Y6A5,P54725,P61106,A1L0T0	TACC3_HUMAN,RD23A_HUMAN,RAB14_HUMAN,ILVBL_HUMAN	0	A1L0T0,P54725,P61106,Q9Y6A5,	-	-	-	-	-	-	-	-	-	multicellularity
C_179	4	Q96H78,P14923,P35221,P15291	S2544_HUMAN,PLAK_HUMAN,CTNA1_HUMAN,B4GT1_HUMAN	2	P15291,Q96H78,	P14923,P35221,	-	REACT_20065~Cadherin:Catenin complex [plasma membrane] (1.27e-02)	-	-	GO:0016342|catenin complex (4.09e-03)	-	F_490 (5.86E-05)	-	vertebrates
C_180	4	Q4G0F5,A0AVT1,P55786,Q9Y376	VP26B_HUMAN,UBA6_HUMAN,PSA_HUMAN,CAB39_HUMAN	0	A0AVT1,P55786,Q4G0F5,Q9Y376,	-	-	-	-	-	-	-	-	-	multicellularity
C_181	4	Q9P032,Q99538,Q15012,O00425	NDUF4_HUMAN,LGMN_HUMAN,LAP4A_HUMAN,IF2B3_HUMAN	0	O00425,Q15012,Q99538,Q9P032,	-	-	-	-	-	-	-	-	-	vertebrates
C_182	4	Q9UHR5,Q92804,Q14687,P35637	S30BP_HUMAN,RBP56_HUMAN,GSE1_HUMAN,FUS_HUMAN	2	Q14687,Q9UHR5,	P35637,Q92804,	CORUM_1332::Large Drosha complex (8.75e-03)	-	-	-	-	-	-	-	vertebrates
C_183	4	P49643,P49642,P09884,Q14181	PRI2_HUMAN,PRI1_HUMAN,DPOLA_HUMAN,DPOA2_HUMAN	4	-	P09884,P49642,P49643,Q14181,	CORUM_1100::DNA polymerase alpha-primase complex (3.00e-10)	REACT_5497~RNA primer-DNA primer:origin duplex [nucleoplasm] (8.26e-10)	PINdb_54::DNA synthesome Complex- DNA replication (5.85e-03)	HPRD_1534::in vitro and in vivo (9.51e-04)	-	-	-	Y_98 (7.12E-11)	Fungi
C_184	4	Q99986,Q8N1B4,Q7Z2T5,P39748	VRK1_HUMAN,VPS52_HUMAN,TRM1L_HUMAN,FEN1_HUMAN	0	P39748,Q7Z2T5,Q8N1B4,Q99986,	-	-	-	-	-	-	-	-	-	vertebrates
C_185	4	Q9H1B7,Q6NVY1,P78310,Q86TX2	I2BPL_HUMAN,HIBCH_HUMAN,CXAR_HUMAN,ACOT1_HUMAN	0	P78310,Q6NVY1,Q86TX2,Q9H1B7,	-	-	-	-	-	-	-	-	-	vertebrates
C_186	4	P09382,Q6P2S7,P21333,P04075	LEG1_HUMAN,GNN_HUMAN,FLNA_HUMAN,ALDOA_HUMAN	0	P04075,P09382,P21333,Q6P2S7,	-	-	-	-	-	-	-	-	-	vertebrates
C_187	4	Q9Y3D3,Q9Y399,Q6P161,Q9Y247	RT16_HUMAN,RT02_HUMAN,RM54_HUMAN,FA50B_HUMAN	3	Q9Y247,	Q6P161,Q9Y399,Q9Y3D3,	CORUM_320::55S ribosome, mitochondrial (6.20e-03)	-	-	-	-	-	-	-	vertebrates
C_188	4	Q17R98,P51965,P16499,Q8IWX8	ZN827_HUMAN,UB2E1_HUMAN,PDE6A_HUMAN,CHERP_HUMAN	0	P16499,P51965,Q17R98,Q8IWX8,	-	-	-	-	-	-	-	-	-	vertebrates
C_189	4	O75940,Q9BWJ5,Q9P013,Q8N5G0	SPF30_HUMAN,SF3B5_HUMAN,CWC15_HUMAN,CD052_HUMAN	3	Q8N5G0,	O75940,Q9BWJ5,Q9P013,	CORUM_2755::17S U2 snRNP (2.34e-02)	-	-	HPRD_2322::in vivo (2.62e-02)	-	-	-	-	multicellularity
C_190	4	O15042,P61927,Q6NWY9,P55081	SR140_HUMAN,RL37_HUMAN,PR40B_HUMAN,MFAP1_HUMAN	2	P61927,Q6NWY9,	O15042,P55081,	-	-	-	-	-	-	-	-	multicellularity
C_191	4	Q9UKY1,Q9C0E2,Q15269,O94829	ZHX1_HUMAN,XPO4_HUMAN,PWP2_HUMAN,IPO13_HUMAN	0	O94829,Q15269,Q9C0E2,Q9UKY1,	-	-	-	-	-	-	-	-	-	vertebrates
C_192	4	Q9H3E2,Q8N196,P19447,P18074	SNX25_HUMAN,SIX5_HUMAN,ERCC3_HUMAN,ERCC2_HUMAN	2	Q8N196,Q9H3E2,	P18074,P19447,	CORUM_5495::TFIIH transcription factor complex (ERCC2, ERCC3, GTF2H1, CDK7, CCNH, GTF2H2) (8.39e-04)	REACT_3832~TFIIH [nucleoplasm] (2.83e-03)	-	HPRD_224::in vivo (6.73e-04)	GO:0005675|holo TFIIH complex (8.21e-03)	AM001965 (1.56e-03)	-	-	vertebrates
C_193	4	Q96BR5,P11717,Q96AY3,Q5T0N5	SELR1_HUMAN,MPRI_HUMAN,FKB10_HUMAN,FBP1L_HUMAN	0	P11717,Q5T0N5,Q96AY3,Q96BR5,	-	-	-	-	-	-	-	-	-	vertebrates
C_194	4	Q9BXF6,Q9UNN8,P07858,Q9NUT2	RFIP5_HUMAN,EPCR_HUMAN,CATB_HUMAN,ABCB8_HUMAN	0	P07858,Q9BXF6,Q9NUT2,Q9UNN8,	-	-	-	-	-	-	-	-	-	vertebrates
C_195	4	P51608,Q9Y3D6,P51659,P04040	MECP2_HUMAN,FIS1_HUMAN,DHB4_HUMAN,CATA_HUMAN	0	P04040,P51608,P51659,Q9Y3D6,	-	-	-	-	-	-	-	-	-	multicellularity
C_196	4	Q96QD8,P08729,O94905,Q8NE86	S38A2_HUMAN,K2C7_HUMAN,ERLN2_HUMAN,C109A_HUMAN	0	O94905,P08729,Q8NE86,Q96QD8,	-	-	-	-	-	-	-	-	-	vertebrates
C_197	4	O00287,Q9BTD8,Q99567,P19338	RFXAP_HUMAN,RBM42_HUMAN,NUP88_HUMAN,NUCL_HUMAN	0	O00287,P19338,Q99567,Q9BTD8,	-	-	-	-	-	-	-	-	-	vertebrates
C_198	4	O14965,P06454,Q6PGN9,Q15398	STK6_HUMAN,PTMA_HUMAN,PSRC1_HUMAN,DLGP5_HUMAN	0	O14965,P06454,Q15398,Q6PGN9,	-	-	-	-	-	-	-	-	-	vertebrates
C_199	4	O75529,O75528,Q96ES7,Q92621	TAF5L_HUMAN,TADA3_HUMAN,SGF29_HUMAN,NU205_HUMAN	3	Q92621,	O75528,O75529,Q96ES7,	CORUM_471::PCAF complex (2.32e-03)	-	PINdb_72::STAGA Complex- transcription (8.13e-03)	HPRD_1699::in vivo (1.80e-03)	GO:0030914|STAGA complex (1.11e-02)	-	F_11 (8.94E-03)	-	vertebrates
C_200	4	Q14498,P62826,P61970,Q9BRR8	RBM39_HUMAN,RAN_HUMAN,NTF2_HUMAN,GPTC1_HUMAN	2	Q14498,Q9BRR8,	P62826,P61970	-	-	-	-	-	-	-	-	Fungi
C_201	4	P00441,P22392,P15531,P06132	SODC_HUMAN,NDKB_HUMAN,NDKA_HUMAN,DCUP_HUMAN	2	P00441,P06132,	P15531,P22392,	-	REACT_21578~nucleoside diphosphate kinase 1A:5B heterohexamer [cytosol] (1.24e-04)	-	-	-	PM000624 (3.81e-04)	-	-	Plants &Protists
C_202	4	P26640,Q9P2J5,P50452,Q96BR1	SYVC_HUMAN,SYLC_HUMAN,SPB8_HUMAN,SGK3_HUMAN	0	P26640,P50452,Q96BR1,Q9P2J5,	-	-	-	-	-	-	-	-	-	vertebrates
C_203	4	Q8N584,Q9BWD1,Q9Y617,P63000	TT39C_HUMAN,THIC_HUMAN,SERC_HUMAN,RAC1_HUMAN	0	P63000,Q8N584,Q9BWD1,Q9Y617,	-	-	-	-	-	-	-	-	-	Fungi
C_204	4	Q6PGP7,P51151,Q15645,Q15811	TTC37_HUMAN,RAB9A_HUMAN,PCH2_HUMAN,ITSN1_HUMAN	0	P51151,Q15645,Q15811,Q6PGP7,	-	-	-	-	-	-	-	-	-	vertebrates
C_205	4	O14773,P51148,Q9BVL2,P31943	TPP1_HUMAN,RAB5C_HUMAN,NUPL1_HUMAN,HNRH1_HUMAN	0	O14773,P31943,P51148,Q9BVL2,	-	-	-	-	-	-	-	-	-	vertebrates
C_206	4	Q96EY7,Q9Y5U9,Q10471,Q92520	PTCD3_HUMAN,IR3IP_HUMAN,GALT2_HUMAN,FAM3C_HUMAN	0	Q10471,Q92520,Q96EY7,Q9Y5U9,	-	-	-	-	-	-	-	-	-	vertebrates
C_207	4	Q9Y5J6,P62072,Q8IX01,Q15155	TIM9B_HUMAN,TIM10_HUMAN,SUGP2_HUMAN,NOMO1_HUMAN	2	Q15155,Q8IX01,	P62072,Q9Y5J6,	-	-	-	HPRD_2500::in vivo (6.38e-04)	-	-	-	-	multicellularity
C_208	4	A6NED2,P53384,P29966,O76075	RCCD1_HUMAN,NUBP1_HUMAN,MARCS_HUMAN,DFFB_HUMAN	0	A6NED2,O76075,P29966,P53384,	-	-	-	-	-	-	-	-	-	vertebrates
C_209	4	Q9NR50,Q13144,Q9UI10,P49770	EI2BG_HUMAN,EI2BE_HUMAN,EI2BD_HUMAN,EI2BB_HUMAN	4	-	P49770,Q13144,Q9NR50,Q9UI10,	-	REACT_3897~eIF2B subunits complex [cytosol] (3.67e-09)	-	-	GO:0005851|eukaryotic translation initiation factor 2B complex (3.42e-08)	AM000507 (6.69e-09)	-	Y_20 (1.02E-08)	Fungi
C_210	4	Q92544,Q9P0S9,Q15005,O00264	TM9S4_HUMAN,TM14C_HUMAN,SPCS2_HUMAN,PGRC1_HUMAN	0	O00264,Q15005,Q92544,Q9P0S9,	-	-	-	-	-	-	-	-	-	Fungi
C_211	4	P17706,Q9BVA0,O75449,O95166	PTN2_HUMAN,KTNB1_HUMAN,KTNA1_HUMAN,GBRAP_HUMAN	2	O95166,P17706	Q9BVA0,O75449	-	-	-	-	-	PM001066 (1.67e-04)	-	-	vertebrates
C_212	4	P35610,Q9P0J0,Q6PKG0,Q9UBX3	SOAT1_HUMAN,NDUAD_HUMAN,LARP1_HUMAN,DIC_HUMAN	0	P35610,Q6PKG0,Q9P0J0,Q9UBX3,	-	-	-	-	-	-	-	-	-	vertebrates
C_213	4	O75191,P52735,P52888,Q969U7	XYLB_HUMAN,VAV2_HUMAN,THOP1_HUMAN,PSMG2_HUMAN	0	O75191,P52735,P52888,Q969U7,	-	-	-	-	-	-	-	-	-	multicellularity
C_214	4	O43298,Q8TCC3,P11234,P49006	ZBT43_HUMAN,RM30_HUMAN,RALB_HUMAN,MRP_HUMAN	0	O43298,P11234,P49006,Q8TCC3,	-	-	-	-	-	-	-	-	-	vertebrates
C_215	4	Q6PFW1,Q6P996,A9UHW6,P05114	VIP1_HUMAN,PDXD1_HUMAN,MI4GD_HUMAN,HMGN1_HUMAN	0	A9UHW6,P05114,Q6P996,Q6PFW1,	-	-	-	-	-	-	-	-	-	vertebrates
C_216	4	P08581,Q7Z434,Q9UBI6,Q14254	MET_HUMAN,MAVS_HUMAN,GBG12_HUMAN,FLOT2_HUMAN	0	P08581,Q14254,Q7Z434,Q9UBI6,	-	-	-	-	-	-	-	-	-	vertebrates
C_217	4	Q9NTK5,P09382,P09972,P04075	OLA1_HUMAN,LEG1_HUMAN,ALDOC_HUMAN,ALDOA_HUMAN	0	P04075,P09382,P09972,Q9NTK5,	-	-	-	-	-	-	-	-	-	multicellularity
C_218	4	Q96QD8,P10606,P20674,Q8NE86	S38A2_HUMAN,COX5B_HUMAN,COX5A_HUMAN,C109A_HUMAN	2	Q8NE86,Q96QD8,	P10606,P20674,	-	REACT_6661~Cytochrome c oxidase [mitochondrial inner membrane] (5.40e-03)	-	-	-	-	-	Y_79 (3.72E-03)	Fungi
C_219	4	Q9Y6M5,O96006,P15313,Q9UHB6	ZNT1_HUMAN,ZBED1_HUMAN,VATB1_HUMAN,LIMA1_HUMAN	0	O96006,P15313,Q9UHB6,Q9Y6M5,	-	-	-	-	-	-	-	-	-	vertebrates
C_220	4	P13984,O00267,P63272,Q9ULU4	T2FB_HUMAN,SPT5H_HUMAN,SPT4H_HUMAN,PKCB1_HUMAN	3	Q9ULU4,	O00267,P13984,P63272,	CORUM_2861::DSIF complex (DRB sensitivity-inducing factor complex) (9.19e-05)	REACT_2797~DSIF complex [nucleoplasm] (1.43e-04)	PINdb_39::DSIF Complex- transcription (2.64e-03)	HPRD_1498::in vivo (9.73e-04)	-	-	-	Y_5 (1.19E-03)	Fungi
C_221	4	O75436,Q96T51,Q5SRE5,O95757	VP26A_HUMAN,RUFY1_HUMAN,NU188_HUMAN,HS74L_HUMAN	0	O75436,O95757,Q5SRE5,Q96T51,	-	-	-	-	-	-	-	-	-	vertebrates
C_222	4	O43399,Q9UGI8,P37802,O60232	TPD54_HUMAN,TES_HUMAN,TAGL2_HUMAN,SSA27_HUMAN	0	O43399,O60232,P37802,Q9UGI8,	-	-	-	-	-	-	-	-	-	vertebrates
C_223	4	O43709,Q96C45,P50224,O75628	WBS22_HUMAN,ULK4_HUMAN,ST1A3_HUMAN,REM1_HUMAN	0	O43709,O75628,P50224,Q96C45,	-	-	-	-	-	-	-	-	-	vertebrates
C_224	4	Q9NXF1,Q8IZL8,Q9NU22,Q9Y4W2	TEX10_HUMAN,PELP1_HUMAN,MDN1_HUMAN,LAS1L_HUMAN	3	Q9NU22,	Q8IZL8,Q9NXF1,Q9Y4W2,	CORUM_5386::MLL1-WDR5 complex (3.23e-04)	-	PINdb_277::MLL1-WDR5 Complex- transcription (3.54e-02)	-	GO:0071339|MLL1 complex (1.93e-03)	AM000070 (1.16e-05)	-	-	vertebrates
C_225	4	P51688,P23921,P16989,Q07021	SPHM_HUMAN,RIR1_HUMAN,DBPA_HUMAN,C1QBP_HUMAN	0	P16989,P23921,P51688,Q07021,	-	-	-	-	-	-	-	-	-	vertebrates
C_226	4	O94762,Q9BWT3,Q08050,Q7Z478	RECQ5_HUMAN,PAPOG_HUMAN,FOXM1_HUMAN,DHX29_HUMAN	0	O94762,Q08050,Q7Z478,Q9BWT3,	-	-	-	-	-	-	-	-	-	vertebrates
C_227	4	O75312,Q96T88,P62942,O75794	ZPR1_HUMAN,UHRF1_HUMAN,FKB1A_HUMAN,CD123_HUMAN	0	O75312,O75794,P62942,Q96T88,	-	-	-	-	-	-	-	-	-	Fungi
C_228	4	P13051,Q96LR5,Q53HV7,Q9UKA9	UNG_HUMAN,UB2E2_HUMAN,SMUG1_HUMAN,PTBP2_HUMAN	0	P13051,Q53HV7,Q96LR5,Q9UKA9,	-	-	-	-	-	-	-	-	-	Fungi
C_229	4	Q9GZS3,Q9Y6N9,Q13564,Q8TBC4	WDR61_HUMAN,USH1C_HUMAN,ULA1_HUMAN,UBA3_HUMAN	2	Q9GZS3,Q9Y6N9,	Q13564,Q8TBC4,	CORUM_2162::APPBP1-UBA3 complex (8.51e-05)	-	-	HPRD_2365::in vivo (3.62e-04)	-	-	-	Y_508 (4.13E-04)	Fungi
C_230	4	Q9NXG2,O75886,Q9HD47,O14964	THUM1_HUMAN,STAM2_HUMAN,MOG1_HUMAN,HGS_HUMAN	2	Q9HD47,Q9NXG2,	O14964,O75886,	CORUM_3677::RIN1-STAM2-HRS complex (2.09e-04)	REACT_27831~ESCRT-0 [cytosol] (3.14e-04)	-	-	-	AM001303 (4.00e-04)	-	Y_276 (7.44E-04)	vertebrates
C_231	4	P26368,Q8IYW5,Q8NBT0,O14548	U2AF2_HUMAN,RN168_HUMAN,POC1A_HUMAN,COX7R_HUMAN	0	O14548,P26368,Q8IYW5,Q8NBT0,	-	-	-	-	-	-	-	-	-	vertebrates
C_232	4	Q5SRE5,O43181,O95757,P54289	NU188_HUMAN,NDUS4_HUMAN,HS74L_HUMAN,CA2D1_HUMAN	0	O43181,O95757,P54289,Q5SRE5,	-	-	-	-	-	-	-	-	-	vertebrates
C_233	4	P00491,Q04760,Q9BY32,P35573	PNPH_HUMAN,LGUL_HUMAN,ITPA_HUMAN,GDE_HUMAN	0	P00491,P35573,Q04760,Q9BY32,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_234	4	P08134,Q08209,Q9BV20,P63098	RHOC_HUMAN,PP2BA_HUMAN,MTNA_HUMAN,CANB1_HUMAN	2	P08134,Q9BV20,	P63098,Q08209,	-	REACT_17149~PP2B complex [cytosol] (9.00e-04)	-	-	-	-	-	Y_300 (4.46E-03)	Fungi
C_235	4	Q8WTS6,Q32MZ4,P07942,Q9C005	SETD7_HUMAN,LRRF1_HUMAN,LAMB1_HUMAN,DPY30_HUMAN	0	P07942,Q32MZ4,Q8WTS6,Q9C005,	-	-	-	-	-	-	-	-	-	vertebrates
C_236	4	Q13151,Q8TEM1,O75369,Q9HB71	ROA0_HUMAN,PO210_HUMAN,FLNB_HUMAN,CYBP_HUMAN	0	O75369,Q13151,Q8TEM1,Q9HB71,	-	-	-	-	-	-	-	-	-	vertebrates
C_237	4	Q9BZV1,Q14258,P23381,P22102	UBXN6_HUMAN,TRI25_HUMAN,SYWC_HUMAN,PUR2_HUMAN	0	P22102,P23381,Q14258,Q9BZV1,	-	-	-	-	-	-	-	-	-	vertebrates
