A census of human transcription factors: function, expression and evolution
Juan M Vaquerizas, Sarah K Kummerfeld, Sarah A Teichmann, Nicholas M Luscombe

Supplementary Table 2
List of TF-encoding loci classified as 'a', 'b', 'c', 'x', or selected from other databases (classified as 'other'; see Supplementary Material). For TFs included in the repertoire, the list also contains accompanying information including: Ensembl gene IDs (release 51), HGNC identifiers, IPI IDs, associated DNA-binding Interpro domains and families, and tissue specificity if any.

Last modified on Tuesday 10 Feb 2009 14:39

Downloaded from the Nature Reviews Genetics website: Downloaded from the Nature Reviews Genetics website: http://www.nature.com/nrg/journal/v10/n4/index.html 

--Table start--
Class	Ensembl ID	IPI ID	Interpro DBD	Interpro DNA-binding family	HGNC symbol	Tissue-specificity
a	ENSG00000119608	IPI00018590;IPI00737875;IPI00896404	IPR009057	IPR007738	PROX2	
a	ENSG00000119614	IPI00033487	IPR001356;IPR009057;IPR012287		VSX2	
a	ENSG00000119715	IPI00032812;IPI00554746	IPR001628	IPR000003;IPR001723	ESRRB	
a	ENSG00000119725	IPI00009618;IPI00106475;IPI00328915	IPR007087;IPR015880		ZNF410	testis
a	ENSG00000119919	IPI00152116;IPI00874070	IPR000047;IPR001356;IPR009057;IPR012287		NKX2-3	
a	ENSG00000119950	IPI00107617;IPI00301031;IPI00412717;IPI00552166;IPI00642612;IPI00643660;IPI00646509	IPR011598		MXI1	bone.marrow
a	ENSG00000120068	IPI00014536	IPR000047;IPR001356;IPR001827;IPR009057;IPR012287		HOXB8	
a	ENSG00000120075	IPI00012514	IPR001356;IPR001827;IPR009057;IPR012287		HOXB5	
a	ENSG00000120087	IPI00297418	IPR001356;IPR001827;IPR009057;IPR012287		HOXB7	pancreas;spinal.cord
a	ENSG00000120093	IPI00027259	IPR000047;IPR001356;IPR001827;IPR009057;IPR012287		HOXB3	general
a	ENSG00000120094	IPI00294724	IPR000047;IPR001356;IPR009057;IPR012287		HOXB1	
a	ENSG00000120149	IPI00292686	IPR000047;IPR001356;IPR009057;IPR012287		MSX2	placenta
a	ENSG00000120690	IPI00167002	IPR000418;IPR011991		ELF1	lymph.node;pancreas;prostate;thymus;whole.blood.JJV
a	ENSG00000120693	IPI00005223;IPI00216093	IPR001132;IPR003619;IPR013019	IPR013790	SMAD9	
a	ENSG00000120738	IPI00030227	IPR007087;IPR015880		EGR1	adrenal.cortex;adrenal.gland;kidney;pancreas;pituitary;thymus;trachea
a	ENSG00000120798	IPI00019051;IPI00334759;IPI00795421;IPI00798023	IPR001628	IPR000324;IPR001723	NR2C1	fetal.thyroid
a	ENSG00000120837	IPI00013217;IPI00790408;IPI00797255	IPR003958	IPR003957	NFYB	general
a	ENSG00000121068	IPI00297902;IPI00555938	IPR008967	IPR001699;IPR002070	TBX2	fetal.lung;lung;placenta
a	ENSG00000121075	IPI00299081	IPR008967	IPR001699	TBX4	
a	ENSG00000121297	IPI00001743	IPR001356;IPR007087;IPR009057;IPR015880		TSHZ3	
a	ENSG00000121454	IPI00169275	IPR001356;IPR009057;IPR012287		LHX4	
a	ENSG00000122180	IPI00010313	IPR011598		MYOG	
a	ENSG00000122386	IPI00029377;IPI00790559	IPR007087;IPR015880		ZNF205	
a	ENSG00000122482	IPI00398725;IPI00479590;IPI00872494;IPI00883588	IPR007087;IPR015880		ZNF644	
a	ENSG00000122592	IPI00010743	IPR001356;IPR001827;IPR009057;IPR012287		HOXA7	
a	ENSG00000122691	IPI00018907;IPI00479748;IPI00893256	IPR011598	IPR015789	TWIST1	placenta;skin;uterus
a	ENSG00000122859	IPI00025789;IPI00619929	IPR011598		NEUROG3	
a	ENSG00000122877	IPI00305368;IPI00797785	IPR007087;IPR015880		EGR2	thyroid
a	ENSG00000123268	IPI00002501;IPI00386034;IPI00793405	IPR004827;IPR011616	IPR001630	ATF1	thyroid;whole.blood.JJV
a	ENSG00000123358	IPI00027454;IPI00027914;IPI00743108;IPI00792812;IPI00793475;IPI00795415	IPR001628	IPR001723;IPR003070;IPR003071	NR4A1	adrenal.cortex
a	ENSG00000123364	IPI00010759	IPR001356;IPR009057;IPR012287		HOXC13	general
a	ENSG00000123388	IPI00011610	IPR001356;IPR009057;IPR012287		HOXC11	
a	ENSG00000123405	IPI00003367	IPR004827;IPR008917;IPR011616		NFE2	bone.marrow;fetal.liver;whole.blood.JJV
a	ENSG00000123407	IPI00010758	IPR000047;IPR001356;IPR009057;IPR012287		HOXC12	
a	ENSG00000123933	IPI00031584;IPI00171713	IPR011598		MXD4	liver;lung;smooth.muscle;thymus
a	ENSG00000124092	IPI00304086	IPR007087;IPR015880		CTCFL	
a	ENSG00000124201	IPI00165981	IPR000967		ZNFX1	
a	ENSG00000124216	IPI00000757	IPR007086;IPR007087;IPR015880		SNAI1	general
a	ENSG00000124232	IPI00219057;IPI00514966;IPI00646515	IPR002909;IPR008967;IPR015350;IPR015351		RBPJL	
a	ENSG00000124440	IPI00292048;IPI00470784;IPI00746815;IPI00844320	IPR011598		HIF3A	fetal.lung
a	ENSG00000124496	IPI00044583;IPI00376357;IPI00413735;IPI00853356;IPI00853414	IPR001005;IPR007087;IPR009057;IPR014778;IPR015880		TRERF1	
a	ENSG00000124664	IPI00018233	IPR000418;IPR011991		SPDEF	prostate
a	ENSG00000124766	IPI00001617	IPR000910;IPR009071	IPR017386	SOX4	fetal.brain;fetal.lung;fetal.thyroid;prostate;smooth.muscle;thymus;trachea;uterus
a	ENSG00000124782	IPI00382589;IPI00465287;IPI00465288;IPI00853192;IPI00853504;IPI00871864	IPR007087;IPR015880		RREB1	fetal.liver
a	ENSG00000124813	IPI00216242;IPI00216243;IPI00514070;IPI00604427;IPI00640084	IPR008967;IPR012346;IPR013524	IPR000040;IPR016554	RUNX2	
a	ENSG00000124827	IPI00006249		IPR003902	GCM2	
a	ENSG00000125285	IPI00001824	IPR000910;IPR009071		SOX21	
a	ENSG00000125347	IPI00023600;IPI00657794;IPI00879077;IPI00893073	IPR001346;IPR011991		IRF1	lung;lymph.node;placenta;thymus;whole.blood.JJV
a	ENSG00000125398	IPI00009713	IPR000910;IPR009071		SOX9	fetal.brain;fetal.thyroid;pancreas;prostate;salivary.gland;spinal.cord;testis;trachea;whole.brain
a	ENSG00000125492	IPI00024060	IPR000047;IPR001356;IPR009057;IPR012287		BARHL1	
a	ENSG00000125533	IPI00184650	IPR011598		BHLHB4	
a	ENSG00000125618	IPI00183926;IPI00221027;IPI00306346;IPI00335892;IPI00790594;IPI00871542	IPR009057;IPR011991		PAX8	fetal.thyroid;kidney;thyroid
a	ENSG00000125740	IPI00295556	IPR004827;IPR011700		FOSB	adrenal.cortex;thyroid;trachea
a	ENSG00000125798	IPI00031773	IPR001766;IPR011991		FOXA2	
a	ENSG00000125813	IPI00013473;IPI00419577;IPI00873058	IPR009057;IPR011991		PAX1	thymus;tonsil
a	ENSG00000125878	IPI00010762	IPR011598		TCF15	
a	ENSG00000125952	IPI00018214;IPI00060723;IPI00157813;IPI00158128;IPI00219929;IPI00377126	IPR011598	IPR002418	MAX	bone.marrow;lung;whole.blood.JJV;whole.brain
a	ENSG00000125968	IPI00012718;IPI00218515	IPR011598		ID1	fetal.lung;heart;lung;pancreas;prostate;thyroid
a	ENSG00000126003	IPI00010085	IPR007087;IPR015880		PLAGL2	testis
a	ENSG00000126351	IPI00022991;IPI00219099;IPI00219100;IPI00219101	IPR001628	IPR001723;IPR001728	THRA	fetal.brain;spinal.cord;whole.brain
a	ENSG00000126368	IPI00023603	IPR001628	IPR000324;IPR001723	NR1D1	general
a	ENSG00000126456	IPI00291901;IPI00646709;IPI00737251;IPI00873861	IPR001346;IPR011991		IRF3	lymph.node
a	ENSG00000126561	IPI00030783;IPI00878538	IPR008967;IPR012345;IPR013801	IPR001217	STAT5A	
a	ENSG00000126733	IPI00065787;IPI00402352;IPI00402353	IPR009061		DACH2	
a	ENSG00000126746	IPI00152875;IPI00220697;IPI00385446;IPI00736968	IPR007087;IPR015880		ZNF384	general
a	ENSG00000126767	IPI00220075;IPI00301527;IPI00556086	IPR000418;IPR011991		ELK1	general
a	ENSG00000126778	IPI00017506	IPR000047;IPR001356;IPR009057;IPR012287		SIX1	
a	ENSG00000126856	IPI00015996	IPR007087;IPR015880		PRDM7	
a	ENSG00000127124	IPI00328089;IPI00641105	IPR007087;IPR015880		HIVEP3	
a	ENSG00000127152	IPI00009213;IPI00009646;IPI00853567	IPR007087;IPR015880		BCL11B	thymus
a	ENSG00000127528	IPI00001862	IPR007087;IPR015880		KLF2	whole.blood.JJV
a	ENSG00000128272	IPI00002503	IPR004827;IPR011616		ATF4	
a	ENSG00000128573	IPI00170880;IPI00215632;IPI00288960;IPI00383604;IPI00454591;IPI00454592;IPI00470950;IPI00784938;IPI00853141;IPI00877946;IPI00878144	IPR001766;IPR007087;IPR011991;IPR015880		FOXP2	
a	ENSG00000128604	IPI00220220;IPI00396061;IPI00746140;IPI00760667;IPI00847325;IPI00874176	IPR001346;IPR011991		IRF5	
a	ENSG00000128645	IPI00001551	IPR001356;IPR009057;IPR012287		HOXD1	
a	ENSG00000128652	IPI00215882	IPR001356;IPR001827;IPR009057;IPR012287		HOXD3	
a	ENSG00000128709	IPI00793020;IPI00873283	IPR001356;IPR009057;IPR012287	IPR017112	HOXD9	uterus
a	ENSG00000128710	IPI00292735	IPR001356;IPR009057;IPR012287		HOXD10	
a	ENSG00000128713	IPI00305856;IPI00784141;IPI00854727	IPR001356;IPR009057;IPR012287		HOXD11	
a	ENSG00000128714	IPI00793525;IPI00871270	IPR001356;IPR009057;IPR012287		HOXD13	
a	ENSG00000129152	IPI00102339	IPR011598		MYOD1	
a	ENSG00000129194	IPI00028451;IPI00816228;IPI00816311	IPR000135;IPR000910;IPR009071		SOX15	general
a	ENSG00000129514	IPI00024387	IPR001766;IPR011991		FOXA1	
a	ENSG00000129535	IPI00008875;IPI00789351	IPR004826;IPR004827;IPR008917		NRL	
a	ENSG00000129911	IPI00011115	IPR007087;IPR015880		KLF16	
a	ENSG00000130522	IPI00289547	IPR004827;IPR008917;IPR011616	IPR002112	JUND	lung;ovary;placenta;thyroid;whole.blood.JJV
a	ENSG00000130700	IPI00017250	IPR000679	IPR016375	GATA5	
a	ENSG00000130751	IPI00293815	IPR011598		NPAS1	
a	ENSG00000130856	IPI00007777;IPI00307551;IPI00647893	IPR007087;IPR015880		ZNF236	general
a	ENSG00000131196	IPI00032069;IPI00221155;IPI00221156;IPI00221157;IPI00221158;IPI00336007;IPI00395394;IPI00759774;IPI00759791	IPR002909;IPR008967;IPR011539	IPR008366;IPR015647	NFATC1	
a	ENSG00000131264	IPI00023058	IPR000047;IPR001356;IPR009057;IPR012287		CDX4	
a	ENSG00000131408	IPI00022730;IPI00470864	IPR001628	IPR000324;IPR001723	NR1H2	heart;lung
a	ENSG00000131668	IPI00871182;IPI00879135	IPR000047;IPR001356;IPR009057;IPR012287		BARX1	
a	ENSG00000131759	IPI00014923;IPI00020071;IPI00218375;IPI00470378;IPI00791851	IPR001628	IPR001723;IPR003078	RARA	heart;whole.blood.JJV
a	ENSG00000132005	IPI00305337	IPR003150;IPR011991		RFX1	
a	ENSG00000132170	IPI00020897;IPI00791321;IPI00794250;IPI00797909;IPI00852773;IPI00853034;IPI00853091;IPI00853274	IPR001628	IPR001723;IPR003074;IPR003077	PPARG	
a	ENSG00000133740	IPI00300501;IPI00795388;IPI00845238	IPR003316;IPR011991	IPR015633	E2F5	
a	ENSG00000133794	IPI00217732;IPI00217734;IPI00217735;IPI00217736;IPI00412162;IPI00413132;IPI00783543;IPI00879656	IPR011598	IPR001067	ARNTL	general
a	ENSG00000133884	IPI00023322	IPR007087;IPR015880		DPF2	testis
a	ENSG00000133937	IPI00011923	IPR001356;IPR009057;IPR012287		GSC	
a	ENSG00000134107	IPI00021143	IPR011598		BHLHB2	kidney;lung;trachea
a	ENSG00000134138	IPI00023696;IPI00171219;IPI00221237;IPI00221238;IPI00373944;IPI00373945;IPI00746958	IPR001356;IPR009057;IPR012287		MEIS2	fetal.brain;pituitary;prostate;salivary.gland;uterus
a	ENSG00000134317	IPI00181670;IPI00185043;IPI00739435	IPR007604		GRHL1	
a	ENSG00000134323	IPI00022372	IPR011598	IPR002418	MYCN	fetal.brain
a	ENSG00000134438	IPI00021025	IPR001356;IPR009057;IPR012287		RAX	
a	ENSG00000134532	IPI00166143;IPI00171247;IPI00216317;IPI00221270;IPI00793790	IPR000910;IPR009071		SOX5	testis
a	ENSG00000134595	IPI00240510	IPR000910;IPR009071		SOX3	
a	ENSG00000134852	IPI00007284;IPI00853422	IPR011598	IPR001067	CLOCK	general
a	ENSG00000134954	IPI00028127;IPI00218351;IPI00742887	IPR000418;IPR011991	IPR016311	ETS1	
a	ENSG00000135100	IPI00025839;IPI00219056;IPI00411416	IPR001356;IPR009057;IPR010982;IPR012287		HNF1A	
a	ENSG00000135111	IPI00005110;IPI00219356;IPI00298944;IPI00791862;IPI00793650	IPR008967	IPR001699;IPR002070	TBX3	adrenal.cortex;adrenal.gland;placenta;prostate;thyroid
a	ENSG00000135164	IPI00028123;IPI00852885;IPI00887567;IPI00889129	IPR001005;IPR009057;IPR012287;IPR014778	IPR015495	DMTF1	general
a	ENSG00000135373	IPI00034048;IPI00172578	IPR000418;IPR011991		EHF	trachea
a	ENSG00000135374	IPI00099434;IPI00163115;IPI00384023	IPR000418;IPR011991		ELF5	salivary.gland;trachea
a	ENSG00000135457	IPI00037599;IPI00140998;IPI00789400;IPI00791184;IPI00791838	IPR007604		TFCP2	
a	ENSG00000135547	IPI00016845;IPI00643805	IPR011598		HEY2	
a	ENSG00000135903	IPI00012896;IPI00219092;IPI00219093;IPI00328760;IPI00328761;IPI00375387;IPI00375388;IPI00895878	IPR001356;IPR009057;IPR011991;IPR012287		PAX3	
a	ENSG00000136352	IPI00472988;IPI00816620	IPR001356;IPR009057;IPR012287		NKX2-1	fetal.lung;fetal.thyroid;lung;thyroid
a	ENSG00000136574	IPI00020064;IPI00383468	IPR000679	IPR016375	GATA4	heart;testis
a	ENSG00000136603	IPI00025468;IPI00216658;IPI00216660;IPI00216661;IPI00867624	IPR009061;IPR010919		SKIL	
a	ENSG00000136630	IPI00292164;IPI00643042	IPR000047;IPR001356;IPR009057;IPR012287		HLX	bone.marrow;lung;whole.blood.JJV
a	ENSG00000136826	IPI00012531;IPI00167069;IPI00643479	IPR007087;IPR015880		KLF4	lung;placenta;skin;trachea
a	ENSG00000136931	IPI00012446;IPI00640780;IPI00644838;IPI00877154	IPR001628	IPR000003;IPR000324;IPR001723	NR5A1	
a	ENSG00000136944	IPI00030989;IPI00220363	IPR001356;IPR009057;IPR012287		LMX1B	
a	ENSG00000136997	IPI00033016;IPI00745564;IPI00796046	IPR011598	IPR002418	MYC	general
a	ENSG00000137090	IPI00001733;IPI00445344	IPR001275		DMRT1	testis
a	ENSG00000137203	IPI00009453;IPI00181288;IPI00472844;IPI00640894;IPI00844409	IPR013854	IPR004979	TFAP2A	placenta;salivary.gland;skin
a	ENSG00000137265	IPI00215970;IPI00289982;IPI00828039	IPR001346;IPR011991		IRF4	lymph.node;tonsil
a	ENSG00000137270	IPI00413627		IPR003902	GCM1	placenta
a	ENSG00000137504	IPI00164768	IPR004827		CREBZF	general
a	ENSG00000137709	IPI00296891;IPI00748827	IPR000327;IPR000972;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847		POU2F3	
a	ENSG00000138083	IPI00030013	IPR000047;IPR001356;IPR009057;IPR012287		SIX3	pituitary
a	ENSG00000138136	IPI00006058	IPR000047;IPR001356;IPR009057;IPR012287	IPR015704	LBX1	
a	ENSG00000138378	IPI00000106	IPR008967;IPR012345;IPR013801	IPR001217	STAT4	lymph.node;pituitary;whole.blood.JJV
a	ENSG00000138738	IPI00032997	IPR007086;IPR007087;IPR015880	IPR017125	PRDM5	
a	ENSG00000138795	IPI00007156;IPI00220456;IPI00651680	IPR000910;IPR009071		LEF1	adrenal.cortex;lymph.node;prostate;testis;thymus;tonsil;whole.blood.JJV
a	ENSG00000139083	IPI00013159;IPI00794709;IPI00871835	IPR000418;IPR011991		ETV6	
a	ENSG00000139352	IPI00032964;IPI00792680	IPR011598	IPR015660	ASCL1	fetal.brain;spinal.cord;thymus;whole.brain
a	ENSG00000139515	IPI00006036	IPR000047;IPR001356;IPR001827;IPR009057;IPR012287		PDX1	
a	ENSG00000140009	IPI00023212;IPI00218153;IPI00218155;IPI00218156;IPI00218157;IPI00218158;IPI00218159;IPI00397583	IPR001628	IPR000324;IPR001723	ESR2	
a	ENSG00000140262	IPI00012966;IPI00384333	IPR011598		TCF12	thymus;uterus
a	ENSG00000140836	IPI00014186;IPI00219003	IPR001356;IPR007087;IPR009057;IPR012287;IPR015880		ZFHX3	fetal.thyroid;prostate
a	ENSG00000140968	IPI00026224	IPR001346;IPR011991		IRF8	bone.marrow;lung;lymph.node;salivary.gland;thymus;tonsil;whole.blood.JJV
a	ENSG00000141448	IPI00024236	IPR000679		GATA6	adrenal.cortex;adrenal.gland;fetal.lung;heart;lung;ovary;smooth.muscle;uterus
a	ENSG00000141510	IPI00025087;IPI00375319;IPI00654847;IPI00796188;IPI00816804;IPI00894418;IPI00895905;IPI00902894	IPR002117;IPR008967;IPR011615;IPR012346;IPR015551		TP53	fetal.liver;smooth.muscle;thymus;whole.blood.JJV
a	ENSG00000141568	IPI00006029;IPI00220426;IPI00479612	IPR001766;IPR011991		FOXK2	adrenal.cortex;testis
a	ENSG00000141646	IPI00013404;IPI00644112	IPR001132;IPR003619;IPR013019	IPR013790	SMAD4	uterus
a	ENSG00000141905	IPI00029795;IPI00218035;IPI00218037;IPI00218039;IPI00218041	IPR003619	IPR000647	NFIC	adrenal.cortex;lung;skeletal.muscle.psoas;tongue
a	ENSG00000142539	IPI00009934	IPR000418;IPR011991		SPIB	heart;lymph.node;tonsil
a	ENSG00000142684	IPI00026276;IPI00844193;IPI00878508	IPR007087;IPR015880		ZNF593	liver
a	ENSG00000143032	IPI00059055	IPR000047;IPR001356;IPR009057;IPR012287		BARHL2	
a	ENSG00000143171	IPI00009736	IPR001628	IPR000003;IPR001723	RXRG	
a	ENSG00000143178	IPI00032197;IPI00642525;IPI00644654	IPR008967	IPR001699;IPR002070	TBX19	pituitary
a	ENSG00000143190	IPI00027828;IPI00219171;IPI00555623;IPI00555806	IPR000327;IPR000972;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847		POU2F1	
a	ENSG00000143194	IPI00064475;IPI00477136	IPR009071;IPR015101		MAEL	
a	ENSG00000143257	IPI00001687;IPI00418379;IPI00431848;IPI00434579;IPI00434584;IPI00434588;IPI00434589;IPI00434592;IPI00434598;IPI00815775;IPI00815785;IPI00815841;IPI00815906;IPI00816112;IPI00816193;IPI00816422;IPI00816473;IPI00816486;IPI00816695;IPI00816828	IPR001628	IPR000324;IPR001723;IPR001728	NR1I3	liver
a	ENSG00000143355	IPI00328729;IPI00396103;IPI00642345;IPI00642361	IPR001356;IPR009057;IPR012287		LHX9	
a	ENSG00000143365	IPI00216710;IPI00418178;IPI00873781	IPR001628	IPR001723;IPR003079	RORC	kidney;liver
a	ENSG00000143390	IPI00009303;IPI00644914;IPI00658131;IPI00658194;IPI00852711;IPI00853148;IPI00853185;IPI00853345;IPI00853561;IPI00853625	IPR003150;IPR011991		RFX5	lymph.node;thymus;tonsil
a	ENSG00000143437	IPI00184523;IPI00218287;IPI00412610;IPI00514749;IPI00844350	IPR011598	IPR001067	ARNT	general
a	ENSG00000143578	IPI00152889;IPI00514670;IPI00644441	IPR004827;IPR008917;IPR011616	IPR001630	CREB3L4	
a	ENSG00000143842	IPI00009049;IPI00219551	IPR000910;IPR009071		SOX13	placenta
a	ENSG00000143995	IPI00011756;IPI00877633;IPI00877788	IPR001356;IPR009057;IPR012287		MEIS1	adrenal.cortex;adrenal.gland;appendix;fetal.lung;ovary;salivary.gland;smooth.muscle;trachea;uterus
a	ENSG00000144355	IPI00221129	IPR000047;IPR001356;IPR009057;IPR012287		DLX1	
a	ENSG00000144852	IPI00004364;IPI00220084;IPI00220085;IPI00220086;IPI00334983;IPI00783954;IPI00852956	IPR001628	IPR000324;IPR001723	NR1I2	liver;pancreas
a	ENSG00000146587	IPI00302755;IPI00871810	IPR007086;IPR007087;IPR015880		RBAK	
a	ENSG00000146592	IPI00027461;IPI00216189;IPI00397362;IPI00410078;IPI00478946	IPR004827;IPR007087;IPR011700;IPR015880	IPR016378	CREB5	whole.blood.JJV
a	ENSG00000147117	IPI00215646	IPR007086;IPR007087;IPR015880		ZNF157	
a	ENSG00000147118	IPI00096308;IPI00479943;IPI00871429;IPI00874076;IPI00896385	IPR007086;IPR007087;IPR015880		ZNF182	
a	ENSG00000147488	IPI00005704	IPR013681		ST18	spinal.cord
a	ENSG00000147789	IPI00012527	IPR007086;IPR007087;IPR015880		ZNF7	skeletal.muscle.psoas
a	ENSG00000147862	IPI00470473;IPI00472959;IPI00473116;IPI00642237;IPI00646279;IPI00646731;IPI00749495;IPI00872141;IPI00872790	IPR003619	IPR000647	NFIB	fetal.brain;fetal.lung;fetal.thyroid;prostate;salivary.gland;smooth.muscle;trachea;uterus
a	ENSG00000148200	IPI00017258;IPI00220041;IPI00413606;IPI00743885;IPI00848326	IPR001628	IPR000324;IPR001723	NR6A1	
a	ENSG00000148516	IPI00375505;IPI00477152;IPI00514481	IPR001356;IPR007087;IPR015880		ZEB1	uterus
a	ENSG00000148704	IPI00515064;IPI00749057	IPR000047;IPR001356;IPR009057;IPR012287		VAX1	
a	ENSG00000148737	IPI00164708;IPI00221004;IPI00221005;IPI00221006;IPI00221007;IPI00221008;IPI00221009;IPI00221010;IPI00221011;IPI00335587;IPI00479483;IPI00552531;IPI00641691	IPR000910;IPR009071		TCF7L2	lung;prostate;uterus
a	ENSG00000148826	IPI00028161	IPR000047;IPR001356;IPR009057;IPR012287		NKX6-2	
a	ENSG00000149054	IPI00007821	IPR007087;IPR015880		ZNF215	
a	ENSG00000149922	IPI00096930;IPI00296043	IPR008967	IPR001699;IPR002070	TBX6	
a	ENSG00000151090	IPI00444844;IPI00446999	IPR001628	IPR001723;IPR001728	THRB	
a	ENSG00000151615	IPI00029713	IPR000327;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847	IPR015584	POU4F2	
a	ENSG00000151623	IPI00027744;IPI00248972;IPI00248973;IPI00248974;IPI00889506;IPI00889527;IPI00889774	IPR001628	IPR000324	NR3C2	thyroid;whole.brain
a	ENSG00000151702	IPI00217470;IPI00329755	IPR000418;IPR011991		FLI1	bone.marrow;lymph.node;whole.blood.JJV
a	ENSG00000152192	IPI00009864	IPR000327;IPR001356;IPR009057;IPR010982;IPR012287;IPR013847	IPR015584	POU4F1	
a	ENSG00000152284	IPI00010396	IPR000910;IPR009071		TCF7L1	general
a	ENSG00000152804	IPI00008771	IPR000047;IPR001356;IPR009057;IPR012287		HHEX	fetal.liver;fetal.thyroid;liver;thyroid;tonsil;whole.blood.JJV
a	ENSG00000152977	IPI00302870;IPI00790102	IPR007087;IPR015880		ZIC1	fetal.brain;spinal.cord;whole.brain
a	ENSG00000153234	IPI00018033	IPR001628	IPR001723;IPR003070;IPR003073	NR4A2	adrenal.cortex;adrenal.gland;appendix;ovary;salivary.gland;trachea
a	ENSG00000153560	IPI00005018;IPI00294870	IPR007604		UBP1	lymph.node
a	ENSG00000153779	IPI00337398	IPR001356;IPR009057;IPR012287		TGIF2LX	
a	ENSG00000153807	IPI00010731;IPI00170686	IPR001356;IPR009057;IPR012287		HOXA10	prostate;uterus
a	ENSG00000153814	IPI00329030;IPI00745862	IPR007087;IPR015880		JAZF1	
a	ENSG00000153879	IPI00022208	IPR004827;IPR011700		CEBPG	
a	ENSG00000154727	IPI00299413	IPR000418;IPR011991	IPR016312	GABPA	
a	ENSG00000155090	IPI00011863;IPI00651766	IPR007087;IPR015880		KLF10	placenta
a	ENSG00000156127	IPI00007422	IPR004827;IPR011616		BATF	
a	ENSG00000156150	IPI00028290	IPR001356;IPR009057;IPR012287		ALX3	
a	ENSG00000156273	IPI00024235;IPI00552038;IPI00789086;IPI00893678;IPI00894330;IPI00894445	IPR004827;IPR008917;IPR011616		BACH1	whole.blood.JJV
a	ENSG00000157429	IPI00012358;IPI00643896;IPI00816592	IPR007086;IPR007087;IPR015880		ZNF19	
a	ENSG00000157514	IPI00016152;IPI00168008;IPI00549492;IPI00644685;IPI00788225		IPR000580	TSC22D3	fetal.lung;lung
a	ENSG00000157554	IPI00005012;IPI00217544;IPI00220990;IPI00549287;IPI00788647;IPI00797224;IPI00797389;IPI00853428;IPI00853570;IPI00872796	IPR000418;IPR011991		ERG	fetal.lung
a	ENSG00000157557	IPI00009756;IPI00790435;IPI00791092	IPR000418;IPR011991	IPR016311	ETS2	fetal.lung;lung;pancreas;whole.brain
a	ENSG00000157613	IPI00303434;IPI00848028	IPR004827;IPR008917;IPR011616	IPR001630	CREB3L1	general
a	ENSG00000157933	IPI00220921	IPR009061;IPR010919		SKI	
a	ENSG00000158055	IPI00152668;IPI00375532;IPI00377073;IPI00414555	IPR007604		GRHL3	
a	ENSG00000158711	IPI00002849;IPI00220318	IPR000418;IPR011991		ELK4	
a	ENSG00000158773	IPI00026559;IPI00413700;IPI00514348	IPR011598		USF1	
a	ENSG00000159184	IPI00294863	IPR001356;IPR009057;IPR012287		HOXB13	prostate
a	ENSG00000159216	IPI00218529;IPI00218530;IPI00218936;IPI00218940;IPI00218942;IPI00218943;IPI00413370;IPI00477787;IPI00791456;IPI00794722;IPI00797455;IPI00871743;IPI00877035	IPR008967;IPR012346;IPR013524	IPR000040;IPR016554	RUNX1	thymus
a	ENSG00000159387	IPI00400792;IPI00797780	IPR001356;IPR009057;IPR012287		IRX6	
a	ENSG00000159556	IPI00059240	IPR001356;IPR009057		ISL2	
a	ENSG00000159882	IPI00006278;IPI00872175	IPR007087;IPR015880		ZNF230	
a	ENSG00000160113	IPI00021429	IPR001628	IPR001723;IPR003068	NR2F6	liver;placenta
a	ENSG00000160199	IPI00217382;IPI00220929	IPR001356;IPR009057;IPR012287		PKNOX1	testis;thyroid
a	ENSG00000160224	IPI00015149	IPR000770;IPR010919		AIRE	
a	ENSG00000160685	IPI00026277	IPR007087;IPR015880		ZBTB7B	
a	ENSG00000160973	IPI00026214;IPI00439760	IPR001766;IPR011991		FOXH1	general
a	ENSG00000161405	IPI00018923;IPI00215852;IPI00215853;IPI00215854;IPI00215855;IPI00215856;IPI00337565;IPI00465192;IPI00465194;IPI00465195;IPI00465196;IPI00465197;IPI00465198;IPI00796035;IPI00797818;IPI00883727	IPR007087;IPR015880		IKZF3	
a	ENSG00000161642	IPI00163238;IPI00334747;IPI00792993;IPI00794302;IPI00795799	IPR007087;IPR015880		ZNF385A	
a	ENSG00000161940	IPI00166071	IPR007087;IPR015880		BCL6B	
a	ENSG00000162419	IPI00008601;IPI00215883;IPI00641457	IPR000770;IPR010919		GMEB1	
a	ENSG00000162599	IPI00029745;IPI00163319;IPI00513825;IPI00514434;IPI00641645;IPI00646660	IPR003619	IPR000647	NFIA	
a	ENSG00000162702	IPI00032563;IPI00647664	IPR007087;IPR015880		ZNF281	
a	ENSG00000162761	IPI00152586	IPR001356;IPR009057;IPR012287		LMX1A	
a	ENSG00000162772	IPI00002502;IPI00385188;IPI00413177;IPI00642183;IPI00644308;IPI00843985	IPR004827;IPR008917;IPR011700		ATF3	appendix;fetal.lung;lung;pancreas;placenta;trachea
a	ENSG00000162924	IPI00029773;IPI00784297	IPR002909;IPR008967;IPR011539	IPR000451	REL	tonsil
a	ENSG00000162992	IPI00299039	IPR011598	IPR016637	NEUROD1	
a	ENSG00000163067	IPI00305348;IPI00556221;IPI00745970;IPI00871651	IPR007087;IPR015880		ZNF2	
