PMID|Methods|UniPro|SwissP/TrEMBL_A|Gene_names_A|NCBI_tax_ID_A|UniPro|SwissP/TrEMBL_B|Gene_names_B|NCBI_tax_ID_B
8657141|copurification|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606
8657141|copurification|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606
8657141|copurification|Q14209|SP|E2F2;transcription factor E2F2|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
8657141|copurification|O00716|SP|E2F3;transcription factor E2F3|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
10373438|coip:coimmunoprecipitation|Q14191|SP|WRN;RECQL2;RECQ3;Werner syndrome helicase|9606|P27694|SP|RPA1;RPA70;REPA1;replication protein A 70 kDa DNA-binding subunit|9606
9192670|far western blotting|P00001|SP|CYC;Cytochrome c|9606|Q07817|SP|BCL2L1;BCL2L;BCLX;Apoptosis regulator Bcl-X|9606
9192670|coip:coimmunoprecipitation|P00001|SP|CYC;Cytochrome c|9606|Q07817|SP|BCL2L1;BCL2L;BCLX;Apoptosis regulator Bcl-X|9606
9192670|coip:coimmunoprecipitation|Q07817|SP|BCL2L1;BCL2L;BCLX;Apoptosis regulator Bcl-X|9606|P00001|SP|CYC;Cytochrome c|9606
9188717|coip:coimmunoprecipitation|P08575|SP|CD45;Leukocyte common antigen;protein tyrosine phosphatase PTP|9606|Q14761|SP|PTPRCAP;Protein tyrosine phosphatase receptor type C-associated protein (CD45-AP)|9606
9188717|coip:coimmunoprecipitation|Q14761|SP|PTPRCAP;Protein tyrosine phosphatase receptor type C-associated protein (CD45-AP)|9606|P08575|SP|CD45;Leukocyte common antigen;protein tyrosine phosphatase PTP|9606
9169441|copurification|P06400|SP|RB1;retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)|9606|Q16632|TREMBL|TFIIIC2 subunit|9606
9169441|copurification|P06400|SP|RB1;retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)|9606|Q16632|TREMBL|TFIIIC2 subunit|9606
9169441|copurification|P06400|SP|RB1;retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)|9606|Q92994|SP|BRF;BRF1;TFIIIB BRF subunit (transcription factor IIIB 90 kDa subunit;B-related factor 1)|9606
9178760|copurification|P19174|SP|PLCG1;PLC1;1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma 1;PLC-gamma-1;Phosphoinositide phospholipase C;Phospholipase C-gamma-1|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|far western blotting|P19174|SP|PLCG1;PLC1;1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma 1;PLC-gamma-1;Phosphoinositide phospholipase C;Phospholipase C-gamma-1|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|coip:coimmunoprecipitation|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606|P19174|SP|PLCG1;PLC1;1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma 1;PLC-gamma-1;Phosphoinositide phospholipase C;Phospholipase C-gamma-1|9606
9178760|coip:coimmunoprecipitation|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606|P27986|SP|PIK3R1;Phosphatidylinositol 3-kinase regulatory alpha subunit|9606
9178760|copurification|P27986|SP|PIK3R1;Phosphatidylinositol 3-kinase regulatory alpha subunit|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|far western blotting|P27986|SP|PIK3R1;Phosphatidylinositol 3-kinase regulatory alpha subunit|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|far western blotting|O00459|SP|PIK3R2;Phosphatidylinositol 3-kinase regulatory beta subunit|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|copurification|O00459|SP|PIK3R2;Phosphatidylinositol 3-kinase regulatory beta subunit|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|coip:coimmunoprecipitation|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606|O00459|SP|PIK3R2;Phosphatidylinositol 3-kinase regulatory beta subunit|9606
9178760|copurification|P41240|SP|CSK;Tyrosine-protein kinase CSK|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|far western blotting|P41240|SP|CSK;Tyrosine-protein kinase CSK|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|coip:coimmunoprecipitation|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606|P41240|SP|CSK;Tyrosine-protein kinase CSK|9606
9178760|coip:coimmunoprecipitation|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606|P06239|SP|LCK;Lck;proto-oncogene tyrosine-protein kinase LCK;lymphocyte specific kinase Lck|9606
9178760|copurification|P06239|SP|LCK;Lck;proto-oncogene tyrosine-protein kinase LCK;lymphocyte specific kinase Lck|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|far western blotting|P06239|SP|LCK;Lck;proto-oncogene tyrosine-protein kinase LCK;lymphocyte specific kinase Lck|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|far western blotting|P29354|SP|GRB2 or ASH;growth factor receptor-bound protein 2 (isoform GRB3-3);GRB2 adapter protein (isoform GRB3-3);SH2/SH3 adapter GRB2 (isoform GRB3-3)|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|copurification|P29354|SP|GRB2 or ASH;growth factor receptor-bound protein 2 (isoform GRB3-3);GRB2 adapter protein (isoform GRB3-3);SH2/SH3 adapter GRB2 (isoform GRB3-3)|9606|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606
9178760|coip:coimmunoprecipitation|P30530|SP|AXL;UFO;Tyrosine-protein kinase receptor UFO precursor|9606|P29354|SP|GRB2 or ASH;growth factor receptor-bound protein 2 (isoform GRB3-3);GRB2 adapter protein (isoform GRB3-3);SH2/SH3 adapter GRB2 (isoform GRB3-3)|9606
9197239|coip:coimmunoprecipitation|P06213|SP|INSR;insulin receptor (precursor)|9606|P32889|SP|ARF1;ADP-ribosylation factor 1|9606
10373512|two hybrid|P51587|SP|BRCA2;breast cancer type 2 susceptibility protein|9606|Q13437|SP|SHFDG1;DSS1;deleted in split hand/split foot protein 1 DSS1|9606
10373512|two hybrid|P51587|SP|BRCA2;breast cancer type 2 susceptibility protein|9606|Q13437|SP|SHFDG1;DSS1;deleted in split hand/split foot protein 1 DSS1|9606
10373512|coip:coimmunoprecipitation|Q13437|SP|SHFDG1;DSS1;deleted in split hand/split foot protein 1 DSS1|9606|P51587|SP|BRCA2;breast cancer type 2 susceptibility protein|9606
10373512|coip:coimmunoprecipitation|Q13437|SP|SHFDG1;DSS1;deleted in split hand/split foot protein 1 DSS1|9606|P51587|SP|BRCA2;breast cancer type 2 susceptibility protein|9606
10373512|coip:coimmunoprecipitation|P51587|SP|BRCA2;breast cancer type 2 susceptibility protein|9606|Q13437|SP|SHFDG1;DSS1;deleted in split hand/split foot protein 1 DSS1|9606
10373512|two hybrid|P51587|SP|BRCA2;breast cancer type 2 susceptibility protein|9606|Q06609|SP|RAD51;RAD51A;DNA repair protein RAD51 homolog 1|9606
9148970|coip:coimmunoprecipitation|P01009|SP|SERPINA1;Alpha-1-antitrypsin (AAT)|9606|Q9NYU2|TREMBL|UDP-glucose:glycoprotein glucosyltransferase 1 (UGTR)|9606
10366599|two hybrid|P49810|SP|PSEN2;PSNL2;AD4;PS2;STM2;presenilin 2|9606|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606
10366599|two hybrid|P49810|SP|PSEN2;PSNL2;AD4;PS2;STM2;presenilin 2|9606|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606
10366599|two hybrid|P49810|SP|PSEN2;PSNL2;AD4;PS2;STM2;presenilin 2|9606|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606
10366599|copurification|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606|P49810|SP|PSEN2;PSNL2;AD4;PS2;STM2;presenilin 2|9606
10366599|coip:coimmunoprecipitation|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606|P49810|SP|PSEN2;PSNL2;AD4;PS2;STM2;presenilin 2|9606
10366599|coip:coimmunoprecipitation|P49810|SP|PSEN2;PSNL2;AD4;PS2;STM2;presenilin 2|9606|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606
10366599|two hybrid|P49768|SP|PSEN1;PSNL1;AD3;PS1;presenilin 1|9606|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606
10366599|two hybrid|P49768|SP|PSEN1;PSNL1;AD3;PS1;presenilin 1|9606|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606
10361124|coip:coimmunoprecipitation|P10276|SP|RARA;NR1B1;retinoic acid receptor alpha (RAR-alpha)|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
10361124|two hybrid|P10276|SP|RARA;NR1B1;retinoic acid receptor alpha (RAR-alpha)|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
10361124|copurification|P10276|SP|RARA;NR1B1;retinoic acid receptor alpha (RAR-alpha)|9606|P08047|SP|SP1;TSFP1;transcription factor Sp1|9606
9151675|two hybrid|P03372|SP|ESR1;NR3A1;ESR;estrogen receptor ESR1;ER-alpha|9606|P07900|SP|HSPCA;Heat shock protein HSP 90-alpha|9606
9115298|cross-linking studies|P03372|SP|ESR1;NR3A1;ESR;estrogen receptor ESR1;ER-alpha|9606|P07900|SP|HSPCA;Heat shock protein HSP 90-alpha|9606
9111321|two hybrid|Q92940|SP|MADH3 or SMAD3;Mothers against decapentaplegic homolog 3 (SMAD3)|9606|Q13485|SP|MADH4 or SMAD4;Mothers against decapentaplegic homolog 4 (SMAD4)|9606
9111321|two hybrid|Q13485|SP|MADH4 or SMAD4;Mothers against decapentaplegic homolog 4 (SMAD4)|9606|Q92940|SP|MADH3 or SMAD3;Mothers against decapentaplegic homolog 3 (SMAD3)|9606
9111321|two hybrid|Q92940|SP|MADH3 or SMAD3;Mothers against decapentaplegic homolog 3 (SMAD3)|9606|Q92940|SP|MADH3 or SMAD3;Mothers against decapentaplegic homolog 3 (SMAD3)|9606
9111321|two hybrid|Q13485|SP|MADH4 or SMAD4;Mothers against decapentaplegic homolog 4 (SMAD4)|9606|Q13485|SP|MADH4 or SMAD4;Mothers against decapentaplegic homolog 4 (SMAD4)|9606
9111321|coip:coimmunoprecipitation|Q13485|SP|MADH4 or SMAD4;Mothers against decapentaplegic homolog 4 (SMAD4)|9606|Q13485|SP|MADH4 or SMAD4;Mothers against decapentaplegic homolog 4 (SMAD4)|9606
9111321|coip:coimmunoprecipitation|Q92940|SP|MADH3 or SMAD3;Mothers against decapentaplegic homolog 3 (SMAD3)|9606|Q92940|SP|MADH3 or SMAD3;Mothers against decapentaplegic homolog 3 (SMAD3)|9606
10358085|electron resonance|P05106|SP ITGB3;GP3A;integrin beta-3 (precursor)|9606|P08514|P08514|ITGA2B;ITGAB;GP2B;integrin alpha-IIb (precursor)|9606
10358085|electron resonance|Q99828|SP|CIB1;PRKDCIP;KIP;CIB;calcium and integrin-binding protein 1 (calmyrin)|9606|P08514|SP|ITGA2B;ITGAB;GP2B;integrin alpha-IIb (precursor)|9606
9079689|coip:coimmunoprecipitation|P35869|SP|AHR;aryl hydrocarbon receptor (AhR);AHR protein;aromatic hydrogen receptor|9606|O00327|SP|ARNTL;Brain and muscle ARNT-like 1 (MOP3)|9606
9079689|coip:coimmunoprecipitation|P07900|SP|HSPCA;Heat shock protein HSP 90-alpha|9606|O00327|SP|ARNTL;Brain and muscle ARNT-like 1 (MOP3)|9606
9079689|two hybrid|Q16665|SP|HIF1A;Hypoxia-inducible factor 1 alpha (HIF-1 alpha) (MOP1)|9606|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606
9079689|coip:coimmunoprecipitation|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606|Q16665|SP|HIF1A;Hypoxia-inducible factor 1 alpha (HIF-1 alpha) (MOP1)|9606
9079689|coip:coimmunoprecipitation|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606|Q99814|SP|EPAS1;Endothelial PAS domain protein 1 (MOP2)|9606
9079689|two hybrid|Q99814|SP|EPAS1;Endothelial PAS domain protein 1 (MOP2)|9606|P27540|SP|ARNT;Aryl hydrocarbon receptor nuclear translocator (ARNT protein)|9606
9079689|coip:coimmunoprecipitation|P07900|SP|HSPCA;Heat shock protein HSP 90-alpha|9606|Q16665|SP|HIF1A;Hypoxia-inducible factor 1 alpha (HIF-1 alpha) (MOP1)|9606
9079689|coip:coimmunoprecipitation|P07900|SP|HSPCA;Heat shock protein HSP 90-alpha|9606|Q99743|SP|NPAS2;Neuronal PAS domain protein 2 (MOP4)|9606
10347167|two hybrid|P10275|SP|AR;NR3C4;DHTR;androgen receptor|9606|Q13772|SP|NCOA4;ARA70;RFG;ELE1;nuclear receptor coactivator 4 (ARA70)|9606
10347167|coip:coimmunoprecipitation|P10275|SP|AR;NR3C4;DHTR;androgen receptor|9606|Q13772|SP|NCOA4;ARA70;RFG;ELE1;nuclear receptor coactivator 4 (ARA70)|9606
8761950|two hybrid|P40123|SP|CAP2;adenylyl cyclase-associated protein 2 CAP2 homolog|9606|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606
8761950|coip:coimmunoprecipitation|P40123|SP|CAP2;adenylyl cyclase-associated protein 2 CAP2 homolog|9606|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606
9058808|coip:coimmunoprecipitation|O00165|SP|HS1BP1;HAX1;HS1-binding protein (HAX-1)|9606|P27348|SP|YWHAQ;14-3-3 protein tau (HS1 protein)|9606
9058808|two hybrid|O00165|SP|HS1BP1;HAX1;HS1-binding protein (HAX-1)|9606|P27348|SP|YWHAQ;14-3-3 protein tau (HS1 protein)|9606
10347167|two hybrid|P19793|SP|RXRA;NR2B1;retinoic acid receptor RXR-alpha|9606|Q13772|SP|NCOA4;ARA70;RFG;ELE1;nuclear receptor coactivator 4 (ARA70)|9606
10347167|coip:coimmunoprecipitation|P19793|SP|RXRA;NR2B1;retinoic acid receptor RXR-alpha|9606|Q13772|SP|NCOA4;ARA70;RFG;ELE1;nuclear receptor coactivator 4 (ARA70)|9606
8761950|two hybrid|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606
8761950|copurification|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606
8761950|coip:coimmunoprecipitation|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606|Q01518|SP|CAP;adenylyl cyclase-associated protein CAP homolog CAP|9606
9124532|coip:coimmunoprecipitation|Q04941|SP|PLP2;A4;Intestinal membrane A4 protein|9606|Q04941|SP|PLP2;A4;Intestinal membrane A4 protein|9606
10220385|coip:coimmunoprecipitation|P56524|SP|HDAC4;KIAA0288;histone deacetylase 4|9606|Q09028|SP|RBBP4;RBAP48;chromatin assembly factor 1 subunit C|9606
10220385|coip:coimmunoprecipitation|P56524|SP|HDAC4;KIAA0288;histone deacetylase 4|9606|O15379|SP|HDAC3;histone deacetylase 3|9606
10220385|coip:coimmunoprecipitation|Q9UQL6|SP|HDAC5 or KIAA0600;histone deacetylase 5|9606|O15379|SP|HDAC3;histone deacetylase 3|9606
9000562|coip:coimmunoprecipitation|O95782|SP|AP2A1;Adapter-related protein complex 2 alpha 1 subunit|9606|P42566|SP|EPS15;Epidermal growth factor receptor substrate 15|9606
8978305|coip:coimmunoprecipitation|P46109|SP|CRKL;Crk-like protein|9606|Q8NEY0|SP|BCR-ABL fusion protein|9606
8978305|coip:coimmunoprecipitation|P46109|SP|CRKL;Crk-like protein|9606|Q8NEY0|SP|BCR-ABL fusion protein|9606
8978305|coip:coimmunoprecipitation|Q8NEY0|SP|BCR-ABL fusion protein|9606|P46109|SP|CRKL;Crk-like protein|9606
8978305|two hybrid|Q8NEY0|SP|BCR-ABL fusion protein|9606|P46109|SP|CRKL;Crk-like protein|9606
8978305|copurification|P46109|SP|CRKL;Crk-like protein|9606|Q8NEY0|SP|BCR-ABL fusion protein|9606
8978305|far western blotting|P46109|SP|CRKL;Crk-like protein|9606|Q8NEY0|SP|BCR-ABL fusion protein|9606
8628273|coip:coimmunoprecipitation|P29597|SP|TYK2;Non-receptor tyrosine-protein kinase TYK2|9606|P17181|SP|IFNAR1;Interferon-alpha/beta receptor alpha chai|9606
8628273|copurification|P17181|SP|IFNAR1;Interferon-alpha/beta receptor alpha chai|9606|P29597|SP|TYK2;Non-receptor tyrosine-protein kinase TYK2|9606
8612709|coip:coimmunoprecipitation|P27038|SP|ACVR2;ACVR2A;Activin receptor type II|9606|Q61271|SP|ACVR1B;Activin type IB receptor|9606
8612709|coip:coimmunoprecipitation|P27038|SP|ACVR2;ACVR2A;Activin receptor type II|9606|P37023|SP|ACVRL1;Serine/threonine-protein kinase receptor R3|9606
8621542|coip:coimmunoprecipitation|P45983|SP|MAPK8 or PRKM8 or JNK1;mitogen-activated protein kinase 8|9606|Q04864|SP|REL;C-Rel proto-oncogene protein|9606
8666948|coip:coimmunoprecipitation|P32927|SP|CSF2RB or IL5RB or IL3RB;Cytokine receptor common beta chain|9606|P32927|SP|CSF2RB or IL5RB or IL3RB;Cytokine receptor common beta chain|9606
8621542|coip:coimmunoprecipitation|Q04864|SP|REL;C-Rel proto-oncogene protein|9606|P45983|SP|MAPK8 or PRKM8 or JNK1;mitogen-activated protein kinase 8|9606
8621542|two hybrid|Q04864|SP|REL;C-Rel proto-oncogene protein|9606|P45983|SP|MAPK8 or PRKM8 or JNK1;mitogen-activated protein kinase 8|9606
8641969|coip:coimmunoprecipitation|P24941|SP|CDK2;Cell division protein kinase 2|9606|P38936|SP|CDKN1A;Cyclin-dependent kinase inhibitor 1|9606
8567649|copurification|P11387|SP|TOP1;DNA topoisomerase I|9606|P19338|SP|NCL;Nucleolin|9606
8567649|coip:coimmunoprecipitation|P19338|SP|NCL;Nucleolin|9606|P11387|SP|TOP1;DNA topoisomerase I|9606
8729618|coip:coimmunoprecipitation|P08107|SP|HSPA1A;Heat shock 70 kDa protein 1|9606|P04637|SP|TP53;P53 protein|9606
8729618|coip:coimmunoprecipitation|P04637|SP|TP53;P53 protein|9606|P08107|SP|HSPA1A;Heat shock 70 kDa protein 1|9606
10220378|coip:coimmunoprecipitation|P15154|SP|RAC1;Ras-related C3 botulinum toxin substrate 1|9606|Q13972|SP RASGRF1;CDC25;guanine nucleotide releasing protein|9606
10220378|coip:coimmunoprecipitation|P06749|SP|ARHA;ARH12;RHOA;RHO12;transforming protein RhoA|9606|Q13972|SP RASGRF1;CDC25;guanine nucleotide releasing protein|9606
10207079|coip:coimmunoprecipitation|Q14493|SP|SLBP;HBP;histone RNA hairpin-binding protein|9606|Q969L4|SP|LSM10;U7 snRNA-associated Sm-like protein LSm10|9606
9418871|copurification|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606|Q92466|SP|DDB2;DNA damage binding protein 2 (DDB p48 subunit;UV-damaged DNA-binding protein 2;DDBb;UV-DDB 2)|9606
9418871|coip:coimmunoprecipitation|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606|Q92466|SP|DDB2;DNA damage binding protein 2 (DDB p48 subunit;UV-damaged DNA-binding protein 2;DDBb;UV-DDB 2)|9606
9418871|coip:coimmunoprecipitation|Q92466|SP|DDB2;DNA damage binding protein 2 (DDB p48 subunit;UV-damaged DNA-binding protein 2;DDBb;UV-DDB 2)|9606|Q01094|SP|E2F1;RBBP3;transcription factor E2F1|9606
9418871|coip:coimmunoprecipitation|Q92466|SP|DDB2;DNA damage binding protein 2 (DDB p48 subunit;UV-damaged DNA-binding protein 2;DDBb;UV-DDB 2)|9606|Q16531|SP|DDB1;DNA damage binding protein 1 (Damage-specific DNA binding protein 1;DDB p127 subunit;DDBa;UV-DDB 1;XAP-1;Xeroderma pigmentosum group E complementing protein)|9606
10207062|two hybrid|P10827|SP|THRA;NR1A1;THRA1;ERBA1;thyroid hormone receptor alpha|9606|Q9UNI2|SP|ALIEN;ALIEN|9606
10207062|coip:coimmunoprecipitation|P10827|SP|THRA;NR1A1;THRA1;ERBA1;thyroid hormone receptor alpha|9606|Q9UNI2|SP|ALIEN;ALIEN|9606
10207062|copurification|Q9UNI2|SP|ALIEN;ALIEN|9606|P10827|SP|THRA;NR1A1;THRA1;ERBA1;thyroid hormone receptor alpha|9606
10207062|two hybrid|P10827|SP|THRA;NR1A1;THRA1;ERBA1;thyroid hormone receptor alpha|9606|Q9UNI2|SP|ALIEN;ALIEN|9606
10207062|coip:coimmunoprecipitation|P10827|SP|THRA;NR1A1;THRA1;ERBA1;thyroid hormone receptor alpha|9606|Q9UNI2|SP|ALIEN;ALIEN|9606
10207062|two hybrid|P10828|SP|THRB;NR1A2;ERBA2;THR1;thyroid hormone receptor beta-1|9606|Q9UNI2|SP|ALIEN;ALIEN|9606
10207062|copurification|P10828|SP|THRB;NR1A2;ERBA2;THR1;thyroid hormone receptor beta-1|9606|Q9UNI2|SP|ALIEN;ALIEN|9606
10207062|two hybrid|P10276|SP|RARA;NR1B1;retinoic acid receptor alpha (RAR-alpha)|9606|Q9UNI2|SP|ALIEN;ALIEN|9606
10207062|copurification|Q9UNI2|SP|ALIEN;ALIEN|9606|P10589|SP|NR2F1;TFCOUP1;ERBAL3;EAR3;COUP transcription factor 1|9606
10620799|two hybrid|Q96C41|SP|RAD9;RAD9 homolog|9606|P10415|SP|BCL2;Apoptosis regulator Bcl-2|9606
9418880|far western blotting|O43432|SP|EIF-4G2;Translation initiation factor 4G-II (eIF4GII;eukaryotic protein synthesis initiation factor eIF4G2)|9606|P06730|SP|EIF-4E;Translation initiation factor 4E (eIF4E;mRNA cap-binding protein)|9606
9418880|coip:coimmunoprecipitation|P06730|SP|EIF-4E;Translation initiation factor 4E (eIF4E;mRNA cap-binding protein)|9606|O43432|SP|EIF-4G2;Translation initiation factor 4G-II (eIF4GII;eukaryotic protein synthesis initiation factor eIF4G2)|9606
9418880|coip:coimmunoprecipitation|P06730|SP|EIF-4E;Translation initiation factor 4E (eIF4E;mRNA cap-binding protein)|9606|O43177|SP|EIF-4G1;Translation initiation factor 4G-I (eIF4GI;eukaryotic protein synthesis initiation factor eIF4G1)|9606
9418880|coip:coimmunoprecipitation|O43432|SP|EIF-4G2;Translation initiation factor 4G-II (eIF4GII;eukaryotic protein synthesis initiation factor eIF4G2)|9606|P04765|SP|EIF-4A;Translation initiation factor 4A (eIF4A;eukaryotic protein synthesis initiation factor eIF4A)|9606
9418880|coip:coimmunoprecipitation|O43177|SP|EIF-4G1;Translation initiation factor 4G-I (eIF4GI;eukaryotic protein synthesis initiation factor eIF4G1)|9606|P04765|SP|EIF-4A;Translation initiation factor 4A (eIF4A;eukaryotic protein synthesis initiation factor eIF4A)|9606
9418880|copurification|O43177|SP|EIF-4G1;Translation initiation factor 4G-I (eIF4GI;eukaryotic protein synthesis initiation factor eIF4G1)|9606|P06730|SP|EIF-4E;Translation initiation factor 4E (eIF4E;mRNA cap-binding protein)|9606
9418880|copurification|O43432|SP|EIF-4G2;Translation initiation factor 4G-II (eIF4GII;eukaryotic protein synthesis initiation factor eIF4G2)|9606|P06730|SP|EIF-4E;Translation initiation factor 4E (eIF4E;mRNA cap-binding protein)|9606
10197586|coip:coimmunoprecipitation|Q02548|SP|PAX5;paired box protein Pax-5|9606|P20226|SP|TBP;TFIID;TF2D;transcription initiation factor TFIID|9606
10197586|coip:coimmunoprecipitation|Q02548|SP|PAX5;paired box protein Pax-5|9606|P06400|SP|RB1;retinoblastoma-associated protein RB (retinoblastoma susceptibility protein)|9606
10196099|coip:coimmunoprecipitation|P25445|SP|TNFRSF6;APT1;FAS;FAS1;tumor necrosis factor receptor superfamily member 6 (CD95) (Apo-1 antigen)|9606|Q14790|SP|CASP8;MCH5;caspase-8 precursor;ICE-like apoptotic protease 5;MORT1-associated CED-3 homolog;apoptotic cysteine protease;apoptotic protease Mch-5|9606
10196099|coip:coimmunoprecipitation|P25445|SP|TNFRSF6;APT1;FAS;FAS1;tumor necrosis factor receptor superfamily member 6 (CD95) (Apo-1 antigen)|9606|Q13158|SP|FADD;MORT1;FADD protein|9606
10194762|copurification|P42229|SP|STAT5A;STAT5;signal transducer and activator of transcription 5A|9606|P27361|SP|MAPK3;PRKM3;ERK1 or MAPK1;PRKM1;ERK2;extracellular signal-regulated kinase 1 or 2|9606
10194762|coip:coimmunoprecipitation|P27361|SP|MAPK3;PRKM3;ERK1 or MAPK1;PRKM1;ERK2;extracellular signal-regulated kinase 1 or 2|9606|P42229|SP|STAT5A;STAT5;signal transducer and activator of transcription 5A|9606
10194762|coip:coimmunoprecipitation|P27361|SP|MAPK3;PRKM3;ERK1 or MAPK1;PRKM1;ERK2;extracellular signal-regulated kinase 1 or 2|9606|P42229|SP|STAT5A;STAT5;signal transducer and activator of transcription 5A|9606
10189366|two hybrid|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|two hybrid|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|two hybrid|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|two hybrid|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|copurification|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|copurification|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|copurification|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|copurification|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|copurification|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|coip:coimmunoprecipitation|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606|Q14980|SP|NuMA protein|9606
10189366|coip:coimmunoprecipitation|Q14980|SP|NuMA protein|9606|P11171|SP|EPB41;E41;protein 4.1 (4.1R)|9606
10093054|coip:coimmunoprecipitation|Q14654|SP|KCNJ11;ATP-sensitive inward rectifier potassium channel 11 (Kir6.2)|9606|O60706|SP|ABCC9;SUR2;sulfonylurea receptor 2|9606
10093054|coip:coimmunoprecipitation|Q14654|SP|KCNJ11;ATP-sensitive inward rectifier potassium channel 11 (Kir6.2)|9606|O60706|SP|ABCC9;SUR2;sulfonylurea receptor 2|9606
